ImagePath,Label
dataset/Train/Cataract/cat_0_1732.jpg,Cataract
dataset/Train/Cataract/cat_0_1746.jpg,Cataract
dataset/Train/Cataract/cat_0_1747.jpg,Cataract
dataset/Train/Cataract/cat_0_1748.jpg,Cataract
dataset/Train/Cataract/cat_0_1751.jpg,Cataract
dataset/Train/Cataract/cat_0_1770.jpg,Cataract
dataset/Train/Cataract/cat_0_1781.jpg,Cataract
dataset/Train/Cataract/cat_0_1788.jpg,Cataract
dataset/Train/Cataract/cat_0_1789.jpg,Cataract
dataset/Train/Cataract/cat_0_1790.jpg,Cataract
dataset/Train/Cataract/cat_0_1792.jpg,Cataract
dataset/Train/Cataract/cat_0_1796.jpg,Cataract
dataset/Train/Cataract/cat_0_1801.jpg,Cataract
dataset/Train/Cataract/cat_0_1803.jpg,Cataract
dataset/Train/Cataract/cat_0_1804.jpg,Cataract
dataset/Train/Cataract/cat_0_1805.jpg,Cataract
dataset/Train/Cataract/cat_0_1806.jpg,Cataract
dataset/Train/Cataract/cat_0_1811.jpg,Cataract
dataset/Train/Cataract/cat_0_1815.jpg,Cataract
dataset/Train/Cataract/cat_0_1819.jpg,Cataract
dataset/Train/Cataract/cat_0_1820.jpg,Cataract
dataset/Train/Cataract/cat_0_1822.jpg,Cataract
dataset/Train/Cataract/cat_0_1823.jpg,Cataract
dataset/Train/Cataract/cat_0_1825.jpg,Cataract
dataset/Train/Cataract/cat_0_1826.jpg,Cataract
dataset/Train/Cataract/cat_0_1828.jpg,Cataract
dataset/Train/Cataract/cat_0_1830.jpg,Cataract
dataset/Train/Cataract/cat_0_1831.jpg,Cataract
dataset/Train/Cataract/cat_0_1834.jpg,Cataract
dataset/Train/Cataract/cat_0_1837.jpg,Cataract
dataset/Train/Cataract/cat_0_1838.jpg,Cataract
dataset/Train/Cataract/cat_0_1841.jpg,Cataract
dataset/Train/Cataract/cat_0_1846.jpg,Cataract
dataset/Train/Cataract/cat_0_1847.jpg,Cataract
dataset/Train/Cataract/cat_0_1848.jpg,Cataract
dataset/Train/Cataract/cat_0_1849.jpg,Cataract
dataset/Train/Cataract/cat_0_1850.jpg,Cataract
dataset/Train/Cataract/cat_0_1851.jpg,Cataract
dataset/Train/Cataract/cat_0_1852.jpg,Cataract
dataset/Train/Cataract/cat_0_1853.jpg,Cataract
dataset/Train/Cataract/cat_0_1854.jpg,Cataract
dataset/Train/Cataract/cat_0_1855.jpg,Cataract
dataset/Train/Cataract/cat_0_1862.jpg,Cataract
dataset/Train/Cataract/cat_0_1868.jpg,Cataract
dataset/Train/Cataract/cat_0_1869.jpg,Cataract
dataset/Train/Cataract/cat_0_1871.jpg,Cataract
dataset/Train/Cataract/cat_0_1872.jpg,Cataract
dataset/Train/Cataract/cat_0_1875.jpg,Cataract
dataset/Train/Cataract/cat_0_1876.jpg,Cataract
dataset/Train/Cataract/cat_0_1879.jpg,Cataract
dataset/Train/Cataract/cat_0_1880.jpg,Cataract
dataset/Train/Cataract/cat_0_1882.jpg,Cataract
dataset/Train/Cataract/cat_0_1884.jpg,Cataract
dataset/Train/Cataract/cat_0_1885.jpg,Cataract
